year	principal	coupon	yield	cusip 041609
2026	235000	5	2.43	2T4
2027	640000	5	2.45	2U1
2028	645000	5	2.48	2V9
2029	640000	5	2.5	2W7
2030	640000	5	2.53	2X5
2031	590000	5	2.54	2Y3
2032	580000	5	2.57	2Z0
2033	555000	5	2.62	3A4
2034	555000	5	2.66	3B2
2035	550000	4	2.75	3C0
2036	345000	4	2.8	3D8
2037	350000	4	2.9	3E6
2038	350000	4	2.99	3F3
2039	350000	4	3.1	3G1
2040	355000	4	3.25	3H9
2041	250000	4	3.39	3J5
2042	255000	4	3.58	3K2
2043	265000	4	3.75	3L0
2044	270000	4	3.84	3M8
2045	280000	4	4	3N6
2051	1520000	4	4.09	3U0
2052	265000	4	4.1	3V8
2053	280000	4	4.11	3W6
2054	290000	4	4.12	3X4
2055	300000	4	4.13	3Y2
