datetime	issuance_year	coupon	maturity	price	yield	calc date	unit	quantity	trade_type
12/06/2023 02:10:06 PM	2023	4	12/01/2048	99.529	4.03	12/01/2048	100	50000	Customer bought
12/06/2023 02:10:03 PM	2023	4	12/01/2048	99.529	4.03	12/01/2048	100	50000	Inter-dealer trade
12/06/2023 01:15:27 PM	2023	4	12/01/2052	98.814	4.07	12/01/2052	100	10000	Customer bought
12/06/2023 01:15:24 PM	2023	4	12/01/2052	98.814	4.07	12/01/2052	100	10000	Inter-dealer trade
12/06/2023 12:30:12 PM	2013	3.5	11/01/2031	97.98	3.798	11/01/2031	100	5000	Customer bought
12/06/2023 12:30:12 PM	2013	3.5	11/01/2031	97.88	3.813	11/01/2031	100	5000	Inter-dealer trade
12/06/2023 12:30:12 PM	2013	3.5	11/01/2031	97.88	3.813	11/01/2031	100	5000	Inter-dealer trade
12/06/2023 11:38:50 AM	2023	4	12/01/2053	100.113	3.985	12/01/2032	100	10000	Customer bought
12/06/2023 11:38:50 AM	2023	4	12/01/2053	98.113	4.11	12/01/2053	100	10000	Inter-dealer trade
12/06/2023 11:38:48 AM	2023	4	12/01/2053	98.113	4.11	12/01/2053	100	10000	Inter-dealer trade
12/06/2023 11:38:48 AM	2023	4	12/01/2053	100.113	3.985	12/01/2032	100	10000	Customer bought
12/06/2023 11:38:47 AM	2023	4	12/01/2053	100.113	3.985	12/01/2032	100	10000	Customer bought
12/06/2023 11:38:47 AM	2023	4	12/01/2053	98.113	4.11	12/01/2053	100	10000	Inter-dealer trade
12/06/2023 11:34:59 AM	2023	4	12/01/2042	102.04	3.73	12/01/2032	100	125000	Customer bought
12/06/2023 11:28:36 AM	2023	4	12/01/2041	102.762	3.636	12/01/2032	100	230000	Customer bought
12/06/2023 11:26:13 AM	2017	3	12/01/2033	94.92	3.611	12/01/2033	100	50000	Inter-dealer trade
12/06/2023 11:26:13 AM	2017	3	12/01/2033	94.84	3.621	12/01/2033	100	50000	Customer sold
12/06/2023 11:13:55 AM	2022	4	10/15/2031	108.015	2.71	10/15/2030	100	25000	Customer bought
12/06/2023 10:57:20 AM	2023	4	12/01/2041	102.577	3.66	12/01/2032	100	50000	Customer bought
12/06/2023 10:57:20 AM	2023	4	12/01/2041	102.577	3.66	12/01/2032	100	50000	Inter-dealer trade
12/06/2023 10:28:32 AM	2023	4	12/01/2052	98.312	4.1	12/01/2052	100	5000	Inter-dealer trade
12/06/2023 10:28:32 AM	2023	4	12/01/2052	98.312	4.1	12/01/2052	100	5000	Customer bought
12/06/2023 10:11:06 AM	2023	4	12/01/2041	102.577	3.66	12/01/2032	100	15000	Customer bought
12/06/2023 10:11:06 AM	2023	4	12/01/2041	102.577	3.66	12/01/2032	100	15000	Inter-dealer trade
12/06/2023 09:45:37 AM	2021	2	09/15/2031	88.733	3.68	09/15/2031	100	155000	Inter-dealer trade
12/06/2023 09:45:37 AM	2021	2	09/15/2031	88.733	3.68	09/15/2031	100	155000	Customer bought
12/06/2023 08:44:41 AM	2023	4	12/01/2052	98.312	4.1	12/01/2052	100	50000	Customer bought
12/06/2023 08:30:35 AM	2023	4	12/01/2052	98.312	4.1	12/01/2052	100	5000	Customer bought
12/06/2023 08:30:35 AM	2023	4	12/01/2052	98.312	4.1	12/01/2052	100	5000	Inter-dealer trade
12/06/2023 07:45:12 AM	2023	4	12/01/2052	98.312	4.1	12/01/2052	100	10000	Customer bought
12/06/2023 07:45:12 AM	2023	4	12/01/2052	98.312	4.1	12/01/2052	100	10000	Inter-dealer trade
