datetime	issuance_year	coupon	maturity	price	yield	calc date	unit	quantity	trade_type
01/27/2025 12:07:29 PM	2023	4	12/01/2047	98.167	4.124	12/01/2047	100	15000	Inter-dealer trade	
01/27/2025 12:07:29 PM	2023	4	12/01/2047	98.232	4.12	12/01/2047	100	15000	Customer bought
01/27/2025 12:33:43 PM	2023	4	12/01/2047	98.167	4.124	12/01/2047	100	15000	Customer sold	
01/28/2025 11:28:43 AM	2021	5	09/15/2027	105.737	2.722	09/15/2027	100	15000	Customer sold
01/28/2025 12:36:00 PM	2021	3	09/15/2032	97.779	3.332	09/15/2032	100	40000	Inter-dealer trade
01/28/2025 12:36:04 PM	2021	3	09/15/2032	97.979	3.302	09/15/2032	100	40000	Customer bought
01/28/2025 12:48:59 PM	2018	4	12/01/2032	101.878	3.3	12/01/2027	100	15000	Inter-dealer trade	
01/28/2025 01:32:53 PM	2017	5	12/01/2026	104.352	2.56	12/01/2026	100	75000	Customer bought
01/29/2025 12:41:27 PM	2023	5	12/01/2032	116.311	2.678	12/01/2032	100	100000	Customer bought
01/29/2025 12:41:27 PM	2023	5	12/01/2032	116.298	2.68	12/01/2032	100	100000	Inter-dealer trade	
01/29/2025 02:42:34 PM	2023	5	12/01/2026	104.1	2.694	12/01/2026	100	135000	Customer sold
01/29/2025 04:20:07 PM	2023	4	12/01/2047	99.056	4.064	12/01/2047	100	5000	Customer sold
01/29/2025 04:20:07 PM	2023	4	12/01/2047	99.196	4.054	12/01/2047	100	5000	Inter-dealer trade
01/29/2025 04:20:07 PM	2023	4	12/01/2047	99.196	4.054	12/01/2047	100	5000	Inter-dealer trade	
01/29/2025 04:20:07 PM	2023	4	12/01/2047	99.296	4.047	12/01/2047	100	5000	Customer bought
01/30/2025 12:20:00 PM	2022	5	10/15/2027	106.148	2.629	10/15/2027	100	50000	Inter-dealer trade	
01/30/2025 12:20:25 PM	2022	5	10/15/2027	106.02	2.677	10/15/2027	100	50000	Customer sold
01/30/2025 01:17:52 PM	2019	5	09/01/2029	107.401	2.814	09/01/2028	100	50000	Inter-dealer trade	
01/30/2025 01:17:52 PM	2019	5	09/01/2029	107.301	2.842	09/01/2028	100	50000	Customer sold
01/30/2025 03:09:12 PM	2019	2.25	09/01/2032	87.2	4.241	09/01/2032	100	10000	Customer sold
01/30/2025 03:09:12 PM	2019	2.25	09/01/2032	87.3	4.225	09/01/2032	100	10000	Inter-dealer trade	
01/30/2025 03:09:12 PM	2019	2.25	09/01/2032	87.38	4.211	09/01/2032	100	10000	Customer bought
01/30/2025 03:09:12 PM	2019	2.25	09/01/2032	87.3	4.225	09/01/2032	100	10000	Inter-dealer trade
01/30/2025 04:27:46 PM	2022	4	10/15/2031	105.693	2.909	10/15/2030	100	10000	Customer sold
01/31/2025 02:03:45 PM	2012	2.375	11/15/2027	96.114	3.86	11/15/2027	100	20000	Inter-dealer trade	
01/31/2025 02:03:45 PM	2012	2.375	11/15/2027	96.114	3.86	11/15/2027	100	20000	Inter-dealer trade	
01/31/2025 02:03:45 PM	2012	2.375	11/15/2027	96.018	3.897	11/15/2027	100	20000	Inter-dealer trade
01/31/2025 02:03:45 PM	2012	2.375	11/15/2027	95.537	4.087	11/15/2027	100	20000	Customer sold
02/03/2025 08:59:45 AM	2023	5	12/01/2032	116.584	2.64	12/01/2032	100	150000	Customer bought	
02/03/2025 09:40:20 AM	2016	4	11/01/2028	101.944	2.846	11/01/2026	100	25000	Inter-dealer trade
02/03/2025 09:40:22 AM	2016	4	11/01/2028	101.944	2.846	11/01/2026	100	25000	Customer bought	
02/03/2025 11:19:21 AM	2022	5	10/15/2032	113.416	2.789	10/15/2031	100	50000	Customer sold
02/03/2025 01:05:49 PM	2023	4	12/01/2048	97.885	4.14	12/01/2048	100	35000	Customer bought
02/03/2025 01:05:49 PM	2023	4	12/01/2048	97.82	4.145	12/01/2048	100	35000	Inter-dealer trade	
02/03/2025 01:05:49 PM	2023	4	12/01/2048	97.82	4.145	12/01/2048	100	35000	Inter-dealer trade
02/03/2025 01:05:49 PM	2023	4	12/01/2048	97.72	4.151	12/01/2048	100	35000	Customer sold
02/03/2025 03:18:45 PM	2022	5	10/15/2028	108.625	2.54	10/15/2028	100	20000	Inter-dealer trade
02/03/2025 03:18:45 PM	2022	5	10/15/2028	108.625	2.54	10/15/2028	100	20000	Customer sold
02/04/2025 12:04:37 PM	2022	5	10/15/2032	114.127	2.68	10/15/2031	100	50000	Customer bought
02/04/2025 12:22:09 PM	2012	2.375	11/15/2027	97.294	3.403	11/15/2027	100	20000	Customer bought	
02/04/2025 12:22:09 PM	2012	2.375	11/15/2027	97.294	3.403	11/15/2027	100	20000	Inter-dealer trade
02/04/2025 12:22:09 PM	2012	2.375	11/15/2027	97.169	3.452	11/15/2027	100	20000	Inter-dealer trade	
02/04/2025 12:22:09 PM	2012	2.375	11/15/2027	97.294	3.403	11/15/2027	100	20000	Inter-dealer trade	
02/04/2025 01:12:08 PM	2022	5	10/15/2025	101.449	2.871	10/15/2025	100	10000	Customer bought
02/04/2025 01:12:08 PM	2022	5	10/15/2025	101.428	2.902	10/15/2025	100	10000	Customer sold
02/04/2025 02:22:56 PM	2016	3	11/01/2033	96.041	3.53	11/01/2033	100	100000	Customer bought
02/06/2025 09:00:13 AM	2025	4	02/01/2053	97.68	4.141	02/01/2053	100	280000	Inter-dealer trade	
02/06/2025 09:00:15 AM	2025	4	02/01/2055	97.275	4.16	02/01/2055	100	150000	Inter-dealer trade	
02/06/2025 09:01:16 AM	2025	5	02/01/2027	104.771	2.45	02/01/2027	100	55000	Customer bought	
02/06/2025 09:01:22 AM	2025	5	02/01/2028	107.072	2.48	02/01/2028	100	50000	Customer bought	
02/06/2025 09:01:29 AM	2025	5	02/01/2030	111.374	2.53	02/01/2030	100	235000	Customer bought	
