year	rate
1929	30
1930	30.4
1931	31.4
1932	30.4
1933	30.4
1934	33
1935	33
1936	34
1937	35.6
1938	35.2
1939	36.8
1940	35.8
1941	34.8
1942	35.6
1943	32
1944	32
1945	34.4
1946	38
1947	42.8
1948	44.2
1949	46.2
1950	50.4
1951	54.2
1952	56.4
1953	57.6
1954	54.5
1955	59.2
1956	69.2
1957	70.4
1958	71.2
1959	74
1960	78.2
1961	82.6
1962	85
1963	84.6
1964	92.6
1965	97.6
1966	97.6
1967	106
1968	124
1969	41
1970	48.2
1971	51.8
1972	56.8
1973	56.8
1973	28.2
1974	74
1975	67.2
1976	67.2
1977	74.08
1978	78
1979	84.6
1980	81
1981	87
1982	73.5
1983	22.7
1984	23.43
1985	23.96
1986	16.49
1987	17.24
1988	17.66
1989	10.86
1990	11.25
1991	12.47
1992	13.85
1993	14.52
1994	15.55
1995	16.06
1996	16.54
1997	17.08
1998	16.73
1999	17.17
2000	17.66
2001	13.17
2002	13.85
2003	13.64
2004	10.61
2005	10.94
2006	11.34
2007	10.95
2008	11.45
2009	11.92
2010	12.11
2011	12.41
2012	13.66
2013	13.61
2014	13.79
2015	13.55
2016	12.8
2017	12.56
2018	12.13
2019	11.26
2020	11.06
2021	11.34
2022	11.42
2023	11.21
